raw_brand_value,script,product_count,normalized_value,method,cluster_id,proposed_canonical_slug,proposed_canonical_display,cluster_min_confidence,needs_review,reviewer_decision,notes
Zumra,latin,30,zumra,singleton,,zumra,Zumra,100.0,False,,
زمزم,arabic,30,زمزم,singleton,,brand_89e07f2571,زمزم,100.0,False,,
شيبسى,arabic,30,شيبسي,singleton,,brand_25b99c32d5,شيبسى,100.0,False,,
موشن,arabic,30,موشن,singleton,,brand_589dc7e894,موشن,100.0,False,,
ميرو,arabic,30,ميرو,singleton,,brand_c93b2558c5,ميرو,100.0,False,,
ڤيبكس,arabic,30,ڤيبكس,singleton,,brand_f93e586649,ڤيبكس,100.0,False,,
Brunch,latin,29,brunch,singleton,,brunch,Brunch,100.0,False,,
Chupachups,latin,29,chupachups,singleton,,chupachups,Chupachups,100.0,False,,
Cold Stone,latin,29,cold stone,singleton,,cold_stone,Cold Stone,100.0,False,,
Glysolid,latin,29,glysolid,singleton,,glysolid,Glysolid,100.0,False,,
La Vache Qui Rit,latin,29,la vache qui rit,singleton,,la_vache_qui_rit,La Vache Qui Rit,100.0,False,,
Papia,latin,29,papia,singleton,,papia,Papia,100.0,False,,
Samsung,latin,29,samsung,singleton,,samsung,Samsung,100.0,False,,
بابيا,arabic,29,بابيا,singleton,,brand_0817d16229,بابيا,100.0,False,,
برنش,arabic,29,برنش,singleton,,brand_a6deaf4318,برنش,100.0,False,,
تشوبا تشيبس,arabic,29,تشوبا تشيبس,singleton,,brand_36c2d19ca3,تشوبا تشيبس,100.0,False,,
جليسوليد,arabic,29,جليسوليد,singleton,,brand_b158c971ab,جليسوليد,100.0,False,,
سامسونج,arabic,29,سامسونج,singleton,,brand_d9516b1dfe,سامسونج,100.0,False,,
كولد ستون,arabic,29,كولد ستون,singleton,,brand_ceaa50ed69,كولد ستون,100.0,False,,
لاڤش كيرى,arabic,29,لاڤش كيري,singleton,,brand_f86393ec02,لاڤش كيرى,100.0,False,,
Class A,latin,28,class a,singleton,,class_a,Class A,100.0,False,,
El Malika,latin,28,el malika,singleton,,el_malika,El Malika,100.0,False,,
Glade,latin,28,glade,singleton,,glade,Glade,100.0,False,,
Kiri,latin,28,kiri,singleton,,kiri,Kiri,100.0,False,,
Mc Vities,latin,28,mc vities,fuzzy_cluster,c2,mc_vities,Mc Vities,94.1,True,approve,
Royalhills,latin,28,royalhills,singleton,,royalhills,Royalhills,100.0,False,,
الوطنيه,arabic,28,الوطنيه,singleton,,brand_16e63973f8,الوطنيه,100.0,False,,
ام سى فيتيس,arabic,28,ام سي فيتيس,singleton,,brand_a7ba0da2be,ام سى فيتيس,100.0,False,,
جلاد,arabic,28,جلاد,singleton,,brand_1495d00fe0,جلاد,100.0,False,,
كيري,arabic,28,كيري,singleton,,brand_d643b26ec2,كيري,100.0,False,,
Dayem,latin,27,dayem,singleton,,dayem,Dayem,100.0,False,,
Durra,latin,27,durra,singleton,,durra,Durra,100.0,False,,
Energizer,latin,27,energizer,singleton,,energizer,Energizer,100.0,False,,
Media Tech,latin,27,media tech,singleton,,media_tech,Media Tech,100.0,False,,
Mentos,latin,27,mentos,singleton,,mentos,Mentos,100.0,False,,
Molfix,latin,27,molfix,singleton,,molfix,Molfix,100.0,False,,
اينرجيزر,arabic,27,اينرجيزر,singleton,,brand_3d8574198b,اينرجيزر,100.0,False,,
دايم,arabic,27,دايم,singleton,,brand_4e874836e5,دايم,100.0,False,,
دورا,arabic,27,دورا,singleton,,brand_d874cb357f,دورا,100.0,False,,
مولفكس,arabic,27,مولفكس,singleton,,brand_08e371e718,مولفكس,100.0,False,,
ميديا تك,arabic,27,ميديا تك,singleton,,brand_c027d03795,ميديا تك,100.0,False,,
مينتوس,arabic,27,مينتوس,singleton,,brand_2443277e42,مينتوس,100.0,False,,
Basata,latin,26,basata,singleton,,basata,Basata,100.0,False,,
California Garden,latin,26,california garden,singleton,,california_garden,California Garden,100.0,False,,
Cleano,latin,26,cleano,singleton,,cleano,Cleano,100.0,False,,
Fisherman,latin,26,fisherman,singleton,,fisherman,Fisherman,100.0,False,,
Gullon,latin,26,gullon,singleton,,gullon,Gullon,100.0,False,,
Lactel,latin,26,lactel,singleton,,lactel,Lactel,100.0,False,,
Lychee,latin,26,lychee,singleton,,lychee,Lychee,100.0,False,,
Regina,latin,26,regina,singleton,,regina,Regina,100.0,False,,
Rivoli,latin,26,rivoli,singleton,,rivoli,Rivoli,100.0,False,,
Sonbolat Elforat,latin,26,sonbolat elforat,fuzzy_cluster,c16,sonbolat_elforat,Sonbolat Elforat,90.3,True,approve,
Valor,latin,26,valor,singleton,,valor,Valor,100.0,False,,
Venus,latin,26,venus,singleton,,venus,Venus,100.0,False,,
Villars,latin,26,villars,singleton,,villars,Villars,100.0,False,,
Yumy,latin,26,yumy,singleton,,yumy,Yumy,100.0,False,,
جلوون,arabic,26,جلوون,singleton,,brand_0d8f01d523,جلوون,100.0,False,,
رجينا,arabic,26,رجينا,singleton,,brand_84b9a5595f,رجينا,100.0,False,,
ريڤولى,arabic,26,ريڤولي,singleton,,brand_34b1d3d932,ريڤولى,100.0,False,,
كاليفورنيا جاردر,arabic,26,كاليفورنيا جاردر,singleton,,brand_18410cd5bc,كاليفورنيا جاردر,100.0,False,,
لاكتيل,arabic,26,لاكتيل,singleton,,brand_08a9ea2ef3,لاكتيل,100.0,False,,
ليتشى,arabic,26,ليتشي,singleton,,brand_395dd943bd,ليتشى,100.0,False,,
ڤينوس,arabic,26,ڤينوس,singleton,,brand_db87787735,ڤينوس,100.0,False,,
Add-Me,latin,25,add-me,singleton,,add_me,Add-Me,100.0,False,,
Cheesa,latin,25,cheesa,singleton,,cheesa,Cheesa,100.0,False,,
El Marmar,latin,25,el marmar,singleton,,el_marmar,El Marmar,100.0,False,,
Green Life,latin,25,green life,fuzzy_cluster,c14,green_life,Green Life,90.0,True,reject,
Tolido,latin,25,tolido,singleton,,tolido,Tolido,100.0,False,,
Twinings,latin,25,twinings,singleton,,twinings,Twinings,100.0,False,,
Weals,latin,25,weals,singleton,,weals,Weals,100.0,False,,
ادد-مي,arabic,25,ادد-مي,singleton,,brand_46054fc2eb,ادد-مي,100.0,False,,
المرمر,arabic,25,المرمر,singleton,,brand_860ce471e5,المرمر,100.0,False,,
تشيزا,arabic,25,تشيزا,singleton,,brand_d6de55efd4,تشيزا,100.0,False,,
توليدو,arabic,25,توليدو,singleton,,brand_c17e6a0af4,توليدو,100.0,False,,
تويننيج,arabic,25,تويننيج,singleton,,brand_ed7354e829,تويننيج,100.0,False,,
جرين لايف,arabic,25,جرين لايف,singleton,,brand_627648e667,جرين لايف,100.0,False,,
ويلز,arabic,25,ويلز,singleton,,brand_40f35e9bb6,ويلز,100.0,False,,
Basma,latin,24,basma,singleton,,basma,Basma,100.0,False,,
Biscato,latin,24,biscato,singleton,,biscato,Biscato,100.0,False,,
Finish,latin,24,finish,singleton,,finish,Finish,100.0,False,,
Fresh Days,latin,24,fresh days,singleton,,fresh_days,Fresh Days,100.0,False,,
Herbal,latin,24,herbal,singleton,,herbal,Herbal,100.0,False,,
Holw El Sham,latin,24,holw el sham,singleton,,holw_el_sham,Holw El Sham,100.0,False,,
Kikoman,latin,24,kikoman,singleton,,kikoman,Kikoman,100.0,False,,
Maram,latin,24,maram,singleton,,maram,Maram,100.0,False,,
Nouval S/S,latin,24,nouval s/s,singleton,,nouval_s_s,Nouval S/S,100.0,False,,
Palmolive,latin,24,palmolive,singleton,,palmolive,Palmolive,100.0,False,,
Rose,latin,24,rose,singleton,,rose,Rose,100.0,False,,
Sea Star,latin,24,sea star,singleton,,sea_star,Sea Star,100.0,False,,
Today,latin,24,today,singleton,,today,Today,100.0,False,,
بالم اوليڤ,arabic,24,بالم اوليڤ,singleton,,brand_96a8787504,بالم اوليڤ,100.0,False,,
بسمة,arabic,24,بسمة,singleton,,brand_4ce61e5792,بسمة,100.0,False,,
بيسكاتو,arabic,24,بيسكاتو,singleton,,brand_c0e2fea99e,بيسكاتو,100.0,False,,
حلو الشام,arabic,24,حلو الشام,singleton,,brand_3a7f4b483f,حلو الشام,100.0,False,,
فينش,arabic,24,فينش,singleton,,brand_9cde8c78f1,فينش,100.0,False,,
مرام,arabic,24,مرام,singleton,,brand_39e3e38bbd,مرام,100.0,False,,
هيربل,arabic,24,هيربل,singleton,,brand_efcdf918d9,هيربل,100.0,False,,
Banat,latin,23,banat,singleton,,banat,Banat,100.0,False,,
Covertina,latin,23,covertina,singleton,,covertina,Covertina,100.0,False,,
بنات,arabic,23,بنات,singleton,,brand_c23810bbcd,بنات,100.0,False,,
كوفرتينا,arabic,23,كوفرتينا,singleton,,brand_271a8a4521,كوفرتينا,100.0,False,,
Benson,latin,22,benson,singleton,,benson,Benson,100.0,False,,
Close Up,latin,22,close up,singleton,,close_up,Close Up,100.0,False,,
Dili,latin,22,dili,singleton,,dili,Dili,100.0,False,,
Elabd,latin,22,elabd,singleton,,elabd,Elabd,100.0,False,,
Elshamadan,latin,22,elshamadan,singleton,,elshamadan,Elshamadan,100.0,False,,
Flory,latin,22,flory,singleton,,flory,Flory,100.0,False,,
Fora,latin,22,fora,singleton,,fora,Fora,100.0,False,,
Giardino,latin,22,giardino,singleton,,giardino,Giardino,100.0,False,,
Green Land,latin,22,green land,singleton,,green_land,Green Land,100.0,False,,
Harvest,latin,22,harvest,singleton,,harvest,Harvest,100.0,False,,
Lamar,latin,22,lamar,singleton,,lamar,Lamar,100.0,False,,
Molto,latin,22,molto,singleton,,molto,Molto,100.0,False,,
Schweppes,latin,22,schweppes,singleton,,schweppes,Schweppes,100.0,False,,
Sea Cube,latin,22,sea cube,singleton,,sea_cube,Sea Cube,100.0,False,,
الشمعدان,arabic,22,الشمعدان,singleton,,brand_6f75ee7c8e,الشمعدان,100.0,False,,
العبد,arabic,22,العبد,singleton,,brand_7af78531b2,العبد,100.0,False,,
جرين لاند,arabic,22,جرين لاند,singleton,,brand_15c20cda44,جرين لاند,100.0,False,,
جيرادينو,arabic,22,جيرادينو,singleton,,brand_9bd72062aa,جيرادينو,100.0,False,,
ديلى,arabic,22,ديلي,singleton,,brand_b241c740f3,ديلى,100.0,False,,
سى كوب,arabic,22,سي كوب,singleton,,brand_e2b899c1e6,سى كوب,100.0,False,,
شويبس,arabic,22,شويبس,singleton,,brand_9c96407571,شويبس,100.0,False,,
فلورى,arabic,22,فلوري,singleton,,brand_2c79c874b8,فلورى,100.0,False,,
كلوز اب,arabic,22,كلوز اب,singleton,,brand_73281775ab,كلوز اب,100.0,False,,
لمار,arabic,22,لمار,singleton,,brand_ab57a663e8,لمار,100.0,False,,
مولتو,arabic,22,مولتو,singleton,,brand_5b85f03b08,مولتو,100.0,False,,
هارفست,arabic,22,هارفست,singleton,,brand_644801d304,هارفست,100.0,False,,
Brix,latin,21,brix,singleton,,brix,Brix,100.0,False,,
Haribo,latin,21,haribo,singleton,,haribo,Haribo,100.0,False,,
Italiano,latin,21,italiano,singleton,,italiano,Italiano,100.0,False,,
Meatland,latin,21,meatland,singleton,,meatland,Meatland,100.0,False,,
Rashidi Mizan,latin,21,rashidi mizan,singleton,,rashidi_mizan,Rashidi Mizan,100.0,False,,
ايطاليانو,arabic,21,ايطاليانو,singleton,,brand_ea9b1d30f4,ايطاليانو,100.0,False,,
بريكس,arabic,21,بريكس,singleton,,brand_a0564c00fb,بريكس,100.0,False,,
رشيدى الميزان,arabic,21,رشيدي الميزان,singleton,,brand_0c8ff8716b,رشيدى الميزان,100.0,False,,
ميتلاند,arabic,21,ميتلاند,singleton,,brand_055e4f7936,ميتلاند,100.0,False,,
هاريبو,arabic,21,هاريبو,singleton,,brand_1461cb6684,هاريبو,100.0,False,,
Alattar,latin,20,alattar,singleton,,alattar,Alattar,100.0,False,,
Beyti,latin,20,beyti,singleton,,beyti,Beyti,100.0,False,,
Cairo,latin,20,cairo,singleton,,cairo,Cairo,100.0,False,,
Casanova,latin,20,casanova,singleton,,casanova,Casanova,100.0,False,,
Corona,latin,20,corona,singleton,,corona,Corona,100.0,False,,
Farmer'S,latin,20,farmer's,singleton,,farmer_s,Farmer'S,100.0,False,,
Freee,latin,20,freee,singleton,,freee,Freee,100.0,False,,
Givrex,latin,20,givrex,singleton,,givrex,Givrex,100.0,False,,
Lametna,latin,20,lametna,singleton,,lametna,Lametna,100.0,False,,
Maggi,latin,20,maggi,singleton,,maggi,Maggi,100.0,False,,
Man Look,latin,20,man look,singleton,,man_look,Man Look,100.0,False,,
Masa,latin,20,masa,singleton,,masa,Masa,100.0,False,,
Masreya,latin,20,masreya,singleton,,masreya,Masreya,100.0,False,,
Nescafe,latin,20,nescafe,singleton,,nescafe,Nescafe,100.0,False,,
Oreo,latin,20,oreo,singleton,,oreo,Oreo,100.0,False,,
Suave,latin,20,suave,singleton,,suave,Suave,100.0,False,,
Superfoods,latin,20,superfoods,singleton,,superfoods,Superfoods,100.0,False,,
Taste Pure,latin,20,taste pure,singleton,,taste_pure,Taste Pure,100.0,False,,
العطار,arabic,20,العطار,singleton,,brand_585b66b4ef,العطار,100.0,False,,
اوريو,arabic,20,اوريو,singleton,,brand_84173ba484,اوريو,100.0,False,,
بيتى,arabic,20,بيتي,singleton,,brand_88b3fcabcd,بيتى,100.0,False,,
تست بيور,arabic,20,تست بيور,singleton,,brand_58ef5f31ef,تست بيور,100.0,False,,
جيفركس,arabic,20,جيفركس,singleton,,brand_3337d4235f,جيفركس,100.0,False,,
سوبر فودز,arabic,20,سوبر فودز,singleton,,brand_a33167710f,سوبر فودز,100.0,False,,
كورونا,arabic,20,كورونا,singleton,,brand_3113534f85,كورونا,100.0,False,,
لمتنا,arabic,20,لمتنا,singleton,,brand_505b5f0f5c,لمتنا,100.0,False,,
ماجى,arabic,20,ماجي,singleton,,brand_4464f461c4,ماجى,100.0,False,,
مان لوك,arabic,20,مان لوك,singleton,,brand_dfeb398e5e,مان لوك,100.0,False,,
مصريه,arabic,20,مصريه,singleton,,brand_e209072b82,مصريه,100.0,False,,
نسكافيه,arabic,20,نسكافيه,singleton,,brand_98f2586fd4,نسكافيه,100.0,False,,
Bake Rolz,latin,19,bake rolz,singleton,,bake_rolz,Bake Rolz,100.0,False,,
Barilla,latin,19,barilla,singleton,,barilla,Barilla,100.0,False,,
Bebem,latin,19,bebem,singleton,,bebem,Bebem,100.0,False,,
Dabur Amla,latin,19,dabur amla,singleton,,dabur_amla,Dabur Amla,100.0,False,,
Elvan,latin,19,elvan,singleton,,elvan,Elvan,100.0,False,,
Freska,latin,19,freska,singleton,,freska,Freska,100.0,False,,
Lipton,latin,19,lipton,singleton,,lipton,Lipton,100.0,False,,
Pantene,latin,19,pantene,singleton,,pantene,Pantene,100.0,False,,
Smart,latin,19,smart,singleton,,smart,Smart,100.0,False,,
Temry,latin,19,temry,singleton,,temry,Temry,100.0,False,,
ايلفان,arabic,19,ايلفان,singleton,,brand_ae2c0b86e4,ايلفان,100.0,False,,
بانتين,arabic,19,بانتين,singleton,,brand_569540d3ac,بانتين,100.0,False,,
بيبيم,arabic,19,بيبيم,singleton,,brand_0c15a4b8eb,بيبيم,100.0,False,,
بيرلا,arabic,19,بيرلا,singleton,,brand_6ba3765e60,بيرلا,100.0,False,,
بيك رولز,arabic,19,بيك رولز,singleton,,brand_e7980657d5,بيك رولز,100.0,False,,
تمرى,arabic,19,تمري,singleton,,brand_62ef67130d,تمرى,100.0,False,,
دابر املا,arabic,19,دابر املا,singleton,,brand_2cef29f744,دابر املا,100.0,False,,
سمارت,arabic,19,سمارت,singleton,,brand_571341085b,سمارت,100.0,False,,
فريسكا,arabic,19,فريسكا,singleton,,brand_e51bd857c4,فريسكا,100.0,False,,
ليبتون,arabic,19,ليبتون,singleton,,brand_726134baa2,ليبتون,100.0,False,,
AMR,latin,18,amr,singleton,,amr,AMR,100.0,False,,
Arabian,latin,18,arabian,singleton,,arabian,Arabian,100.0,False,,
Ariel,latin,18,ariel,singleton,,ariel,Ariel,100.0,False,,
Bloom,latin,18,bloom,singleton,,bloom,Bloom,100.0,False,,
Bravo,latin,18,bravo,singleton,,bravo,Bravo,100.0,False,,
Break,latin,18,break,singleton,,break,Break,100.0,False,,
Camay,latin,18,camay,singleton,,camay,Camay,100.0,False,,
Crunchy,latin,18,crunchy,singleton,,crunchy,Crunchy,100.0,False,,
Dream,latin,18,dream,singleton,,dream,Dream,100.0,False,,
El Watania,latin,18,el watania,fuzzy_cluster,c13,el_watania,El Watania,90.0,True,approve,
Farm Cheese,latin,18,farm cheese,singleton,,farm_cheese,Farm Cheese,100.0,False,,
Kamil,latin,18,kamil,singleton,,kamil,Kamil,100.0,False,,
Kellogg`S,latin,18,kellogg`s,singleton,,kellogg_s,Kellogg`S,100.0,False,,
Leady Speed,latin,18,leady speed,singleton,,leady_speed,Leady Speed,100.0,False,,
Olio,latin,18,olio,singleton,,olio,Olio,100.0,False,,
Purina,latin,18,purina,singleton,,purina,Purina,100.0,False,,
Sekem,latin,18,sekem,singleton,,sekem,Sekem,100.0,False,,
The Best,latin,18,the best,singleton,,the_best,The Best,100.0,False,,
اريال,arabic,18,اريال,singleton,,brand_e45ee010c9,اريال,100.0,False,,
اوليو,arabic,18,اوليو,singleton,,brand_a6f23505ce,اوليو,100.0,False,,
بريل,arabic,18,بريل,singleton,,brand_7ec45544a8,بريل,100.0,False,,
بورينا,arabic,18,بورينا,singleton,,brand_f1e3d8a3c3,بورينا,100.0,False,,
سيكيم,arabic,18,سيكيم,singleton,,brand_eba5035543,سيكيم,100.0,False,,
فارم تشيز,arabic,18,فارم تشيز,singleton,,brand_e63aab637a,فارم تشيز,100.0,False,,
كامى,arabic,18,كامي,singleton,,brand_85da25bf87,كامى,100.0,False,,
كرانشى,arabic,18,كرانشي,singleton,,brand_baa9e709f2,كرانشى,100.0,False,,
كيلوجوز,arabic,18,كيلوجوز,singleton,,brand_e52a04cddb,كيلوجوز,100.0,False,,
ليدى سبيد,arabic,18,ليدي سبيد,singleton,,brand_e4686dee51,ليدى سبيد,100.0,False,,
American Garden,latin,17,american garden,singleton,,american_garden,American Garden,100.0,False,,
Borcam,latin,17,borcam,singleton,,borcam,Borcam,100.0,False,,
Cheetos,latin,17,cheetos,singleton,,cheetos,Cheetos,100.0,False,,
Elleheimy,latin,17,elleheimy,singleton,,elleheimy,Elleheimy,100.0,False,,
Granoro,latin,17,granoro,singleton,,granoro,Granoro,100.0,False,,
Ilou,latin,17,ilou,singleton,,ilou,Ilou,100.0,False,,
Teama Milk,latin,17,teama milk,singleton,,teama_milk,Teama Milk,100.0,False,,
Yamama,latin,17,yamama,singleton,,yamama,Yamama,100.0,False,,
اللحيمى,arabic,17,اللحيمي,singleton,,brand_da47865a71,اللحيمى,100.0,False,,
امريكان جاردن,arabic,17,امريكان جاردن,singleton,,brand_bdfe13b92e,امريكان جاردن,100.0,False,,
بروكام,arabic,17,بروكام,singleton,,brand_45083d97fe,بروكام,100.0,False,,
جرانورو,arabic,17,جرانورو,singleton,,brand_ad9896d4aa,جرانورو,100.0,False,,
شيتوس,arabic,17,شيتوس,singleton,,brand_1a1787e8ed,شيتوس,100.0,False,,
طعمه ميلك,arabic,17,طعمه ميلك,singleton,,brand_0028060d3c,طعمه ميلك,100.0,False,,
للوو,arabic,17,للوو,singleton,,brand_329dd33d88,للوو,100.0,False,,
يمامة,arabic,17,يمامة,singleton,,brand_6aa3305b9f,يمامة,100.0,False,,
Al Wahaa,latin,16,al wahaa,singleton,,al_wahaa,Al Wahaa,100.0,False,,
Bahlsen,latin,16,bahlsen,singleton,,bahlsen,Bahlsen,100.0,False,,
Boo,latin,16,boo,singleton,,boo,Boo,100.0,False,,
Calnort,latin,16,calnort,singleton,,calnort,Calnort,100.0,False,,
Chiketeta,latin,16,chiketeta,singleton,,chiketeta,Chiketeta,100.0,False,,
Divatoll,latin,16,divatoll,singleton,,divatoll,Divatoll,100.0,False,,
E Keratin,latin,16,e keratin,singleton,,e_keratin,E Keratin,100.0,False,,
Fax,latin,16,fax,singleton,,fax,Fax,100.0,False,,
Green,latin,16,green,singleton,,green,Green,100.0,False,,
Hawaa,latin,16,hawaa,singleton,,hawaa,Hawaa,100.0,False,,
Hui,latin,16,hui,singleton,,hui,Hui,100.0,False,,
Mcvities,latin,16,mcvities,fuzzy_cluster,c2,mc_vities,Mc Vities,94.1,True,approve,
Miraxx,latin,16,miraxx,fuzzy_cluster,c12,miraxx,Miraxx,90.9,True,approve,
Montana,latin,16,montana,singleton,,montana,Montana,100.0,False,,
Munchi,latin,16,munchi,singleton,,munchi,Munchi,100.0,False,,
My Meat,latin,16,my meat,singleton,,my_meat,My Meat,100.0,False,,
Palmer's,latin,16,palmer's,singleton,,palmer_s,Palmer's,100.0,False,,
Pretzo,latin,16,pretzo,singleton,,pretzo,Pretzo,100.0,False,,
Pril,latin,16,pril,singleton,,pril,Pril,100.0,False,,
Private,latin,16,private,singleton,,private,Private,100.0,False,,
Safe To Go,latin,16,safe to go,singleton,,safe_to_go,Safe To Go,100.0,False,,
Spisy,latin,16,spisy,singleton,,spisy,Spisy,100.0,False,,
Sweet&Slim,latin,16,sweet&slim,singleton,,sweet_slim,Sweet&Slim,100.0,False,,
Swiss Choice,latin,16,swiss choice,singleton,,swiss_choice,Swiss Choice,100.0,False,,
Venecia,latin,16,venecia,singleton,,venecia,Venecia,100.0,False,,
الواحه,arabic,16,الواحه,singleton,,brand_0cad3e207d,الواحه,100.0,False,,
بالسين,arabic,16,بالسين,singleton,,brand_e876e4ed90,بالسين,100.0,False,,
بالمرز,arabic,16,بالمرز,singleton,,brand_f19334c1ae,بالمرز,100.0,False,,
برايڤت,arabic,16,برايڤت,singleton,,brand_99a273bb5c,برايڤت,100.0,False,,
جرين,arabic,16,جرين,singleton,,brand_d0121e4a97,جرين,100.0,False,,
حواء,arabic,16,حواء,singleton,,brand_074b5b1165,حواء,100.0,False,,
سويت&سليم,arabic,16,سويت&سليم,singleton,,brand_a7b81e5fea,سويت&سليم,100.0,False,,
سويس شويس,arabic,16,سويس شويس,singleton,,brand_7d26157442,سويس شويس,100.0,False,,
شيكيتيتا,arabic,16,شيكيتيتا,singleton,,brand_3a687c4d02,شيكيتيتا,100.0,False,,
كلنورت,arabic,16,كلنورت,singleton,,brand_3fab33988c,كلنورت,100.0,False,,
مونتانا,arabic,16,مونتانا,singleton,,brand_d5e8e36606,مونتانا,100.0,False,,
هوي,arabic,16,هوي,singleton,,brand_cdbd27b609,هوي,100.0,False,,
Agnesi,latin,15,agnesi,singleton,,agnesi,Agnesi,100.0,False,,
Dr.Life,latin,15,dr.life,singleton,,dr_life,Dr.Life,100.0,False,,
Mero,latin,15,mero,singleton,,mero,Mero,100.0,False,,
Miro,latin,15,miro,singleton,,miro,Miro,100.0,False,,
Omelette,latin,15,omelette,singleton,,omelette,Omelette,100.0,False,,
Queen,latin,15,queen,singleton,,queen,Queen,100.0,False,,
Reef,latin,15,reef,singleton,,reef,Reef,100.0,False,,
اجنسى,arabic,15,اجنسي,singleton,,brand_4ba8532b1e,اجنسى,100.0,False,,
اميليتى,arabic,15,اميليتي,singleton,,brand_4c0886102e,اميليتى,100.0,False,,
د.ليف,arabic,15,د.ليف,singleton,,brand_aaecc4894b,د.ليف,100.0,False,,
ريف,arabic,15,ريف,singleton,,brand_827fcf0dc8,ريف,100.0,False,,
كوين,arabic,15,كوين,singleton,,brand_f05359078e,كوين,100.0,False,,
Adam+Hawaa,latin,14,adam+hawaa,singleton,,adam_hawaa,Adam+Hawaa,100.0,False,,
Beauty,latin,14,beauty,singleton,,beauty,Beauty,100.0,False,,
Cooker,latin,14,cooker,singleton,,cooker,Cooker,100.0,False,,
Damfi,latin,14,damfi,singleton,,damfi,Damfi,100.0,False,,
Davidoff,latin,14,davidoff,singleton,,davidoff,Davidoff,100.0,False,,
El Batreek,latin,14,el batreek,singleton,,el_batreek,El Batreek,100.0,False,,
Elmatbakh Elmasry,latin,14,elmatbakh elmasry,fuzzy_cluster,c23,elmatbakh_elmasry,Elmatbakh Elmasry,93.8,True,approve,
Esnad,latin,14,esnad,singleton,,esnad,Esnad,100.0,False,,
Fast,latin,14,fast,singleton,,fast,Fast,100.0,False,,
Fine Baby,latin,14,fine baby,singleton,,fine_baby,Fine Baby,100.0,False,,
Five Stars,latin,14,five stars,singleton,,five_stars,Five Stars,100.0,False,,
Fruty,latin,14,fruty,fuzzy_cluster,c24,fruty,Fruty,90.9,True,approve,
Grandi,latin,14,grandi,singleton,,grandi,Grandi,100.0,False,,
Hafsa,latin,14,hafsa,singleton,,hafsa,Hafsa,100.0,False,,
Himalaya,latin,14,himalaya,singleton,,himalaya,Himalaya,100.0,False,,
Mehran,latin,14,mehran,singleton,,mehran,Mehran,100.0,False,,
Mirinda,latin,14,mirinda,singleton,,mirinda,Mirinda,100.0,False,,
Ocean Bites,latin,14,ocean bites,singleton,,ocean_bites,Ocean Bites,100.0,False,,
Philips,latin,14,philips,singleton,,philips,Philips,100.0,False,,
Sofra,latin,14,sofra,singleton,,sofra,Sofra,100.0,False,,
Taw Taw,latin,14,taw taw,singleton,,taw_taw,Taw Taw,100.0,False,,
Tik Tik,latin,14,tik tik,singleton,,tik_tik,Tik Tik,100.0,False,,
Tipo,latin,14,tipo,singleton,,tipo,Tipo,100.0,False,,
Tricheup,latin,14,tricheup,fuzzy_cluster,c15,tricheup,Tricheup,93.3,True,approve,
Ulker,latin,14,ulker,singleton,,ulker,Ulker,100.0,False,,
Vidal,latin,14,vidal,singleton,,vidal,Vidal,100.0,False,,
Vital Care,latin,14,vital care,singleton,,vital_care,Vital Care,100.0,False,,
Yummy,latin,14,yummy,singleton,,yummy,Yummy,100.0,False,,
آدم +حواء,arabic,14,ادم +حواء,singleton,,brand_d9b62c3c5f,آدم +حواء,100.0,False,,
اولكر,arabic,14,اولكر,singleton,,brand_b46478f257,اولكر,100.0,False,,
جراندى,arabic,14,جراندي,singleton,,brand_e9f4b1daef,جراندى,100.0,False,,
حفصه,arabic,14,حفصه,singleton,,brand_61f00b5665,حفصه,100.0,False,,
دامفى,arabic,14,دامفي,singleton,,brand_2755fe16fa,دامفى,100.0,False,,
فاين بابي,arabic,14,فاين بابي,singleton,,brand_0c743a5961,فاين بابي,100.0,False,,
فيليبس,arabic,14,فيليبس,singleton,,brand_196bcfbdb6,فيليبس,100.0,False,,
ميرندا,arabic,14,ميرندا,singleton,,brand_e2a33df0f3,ميرندا,100.0,False,,
هيمالايا,arabic,14,هيمالايا,singleton,,brand_960703f8a4,هيمالايا,100.0,False,,
يامي,arabic,14,يامي,singleton,,brand_3993a66335,يامي,100.0,False,,
Basak,latin,13,basak,singleton,,basak,Basak,100.0,False,,
Borges,latin,13,borges,singleton,,borges,Borges,100.0,False,,
Fanta,latin,13,fanta,singleton,,fanta,Fanta,100.0,False,,
Homi,latin,13,homi,singleton,,homi,Homi,100.0,False,,
Long Chips,latin,13,long chips,singleton,,long_chips,Long Chips,100.0,False,,
Shave Code,latin,13,shave code,singleton,,shave_code,Shave Code,100.0,False,,
Shicketita,latin,13,shicketita,singleton,,shicketita,Shicketita,100.0,False,,
Skittles,latin,13,skittles,singleton,,skittles,Skittles,100.0,False,,
Sprinkle,latin,13,sprinkle,singleton,,sprinkle,Sprinkle,100.0,False,,
Sun Top,latin,13,sun top,singleton,,sun_top,Sun Top,100.0,False,,
Tiger,latin,13,tiger,singleton,,tiger,Tiger,100.0,False,,
Vanish,latin,13,vanish,singleton,,vanish,Vanish,100.0,False,,
باساك,arabic,13,باساك,singleton,,brand_99e78d7f08,باساك,100.0,False,,
بورجس,arabic,13,بورجس,singleton,,brand_4f118043d5,بورجس,100.0,False,,
تايجر,arabic,13,تايجر,singleton,,brand_c11bc15097,تايجر,100.0,False,,
