raw_brand_value,script,product_count,normalized_value,method,cluster_id,proposed_canonical_slug,proposed_canonical_display,cluster_min_confidence,needs_review,reviewer_decision,notes
كلوروكس,arabic,77,كلوروكس,singleton,,brand_8da012c100,كلوروكس,100.0,False,,
El Doha,latin,76,el doha,singleton,,el_doha,El Doha,100.0,False,,
Bobana,latin,75,bobana,singleton,,bobana,Bobana,100.0,False,,
L'Oreal,latin,75,l'oreal,singleton,,l_oreal,L'Oreal,100.0,False,,
بوبانا,arabic,75,بوبانا,singleton,,brand_188ecc7d6a,بوبانا,100.0,False,,
لوريال,arabic,75,لوريال,singleton,,brand_3fe4e4f042,لوريال,100.0,False,,
Frida,latin,74,frida,fuzzy_cluster,c9,frida,Frida,90.9,True,approve,
فرايدا,arabic,74,فرايدا,singleton,,brand_aca05d7351,فرايدا,100.0,False,,
Funday,latin,72,funday,singleton,,funday,Funday,100.0,False,,
Isis,latin,72,isis,singleton,,isis,Isis,100.0,False,,
Lino,latin,72,lino,singleton,,lino,Lino,100.0,False,,
Modern,latin,72,modern,singleton,,modern,Modern,100.0,False,,
ايزيس,arabic,72,ايزيس,singleton,,brand_f4ae5474b5,ايزيس,100.0,False,,
لينو,arabic,72,لينو,singleton,,brand_4f824e94a5,لينو,100.0,False,,
Atyab,latin,71,atyab,singleton,,atyab,Atyab,100.0,False,,
اطياب,arabic,71,اطياب,singleton,,brand_17ee660c72,اطياب,100.0,False,,
Don Lopez,latin,70,don lopez,singleton,,don_lopez,Don Lopez,100.0,False,,
One,latin,70,one,singleton,,one,One,100.0,False,,
White,latin,70,white,singleton,,white,White,100.0,False,,
Wonderville,latin,70,wonderville,singleton,,wonderville,Wonderville,100.0,False,,
وايت,arabic,70,وايت,singleton,,brand_640b86d90c,وايت,100.0,False,,
Garnier,latin,68,garnier,fuzzy_cluster,c7,garnier,Garnier,93.3,True,approve,
Lux,latin,68,lux,singleton,,lux,Lux,100.0,False,,
جارنير,arabic,68,جارنير,singleton,,brand_826820da42,جارنير,100.0,False,,
Palette,latin,66,palette,singleton,,palette,Palette,100.0,False,,
Pampers,latin,66,pampers,singleton,,pampers,Pampers,100.0,False,,
باليت,arabic,66,باليت,singleton,,brand_26ef8b20d6,باليت,100.0,False,,
بامبرز,arabic,66,بامبرز,singleton,,brand_bbcfbf16ce,بامبرز,100.0,False,,
Imtenan,latin,65,imtenan,singleton,,imtenan,Imtenan,100.0,False,,
Luna,latin,65,luna,singleton,,luna,Luna,100.0,False,,
امتنان,arabic,65,امتنان,singleton,,brand_73f5ad0b61,امتنان,100.0,False,,
لونا,arabic,65,لونا,singleton,,brand_27264cc653,لونا,100.0,False,,
Oxi,latin,63,oxi,singleton,,oxi,Oxi,100.0,False,,
اوكسى,arabic,63,اوكسي,singleton,,brand_ab1d85a2b7,اوكسى,100.0,False,,
Zahran,latin,62,zahran,singleton,,zahran,Zahran,100.0,False,,
زهران,arabic,62,زهران,singleton,,brand_783ad8f117,زهران,100.0,False,,
Axe,latin,61,axe,singleton,,axe,Axe,100.0,False,,
Healthy,latin,61,healthy,singleton,,healthy,Healthy,100.0,False,,
اكس,arabic,61,اكس,singleton,,brand_6cf1c5a6ce,اكس,100.0,False,,
هلثى,arabic,61,هلثي,singleton,,brand_984a85c9ce,هلثى,100.0,False,,
Alyemeni,latin,60,alyemeni,singleton,,alyemeni,Alyemeni,100.0,False,,
Bab Elsham,latin,60,bab elsham,singleton,,bab_elsham,Bab Elsham,100.0,False,,
Care+More,latin,60,care+more,singleton,,care_more,Care+More,100.0,False,,
باب الشام,arabic,60,باب الشام,singleton,,brand_a6068ce17f,باب الشام,100.0,False,,
كير+مور,arabic,60,كير+مور,singleton,,brand_da9cf0c876,كير+مور,100.0,False,,
Crystal,latin,58,crystal,singleton,,crystal,Crystal,100.0,False,,
Pure,latin,58,pure,singleton,,pure,Pure,100.0,False,,
Tefal,latin,58,tefal,singleton,,tefal,Tefal,100.0,False,,
fFrida,latin,58,ffrida,singleton,,ffrida,fFrida,100.0,False,,
تيفال,arabic,58,تيفال,singleton,,brand_00ce1a5943,تيفال,100.0,False,,
Temmys,latin,57,temmys,singleton,,temmys,Temmys,100.0,False,,
تيمميز,arabic,57,تيمميز,singleton,,brand_9468688896,تيمميز,100.0,False,,
Chefy Mix,latin,56,chefy mix,singleton,,chefy_mix,Chefy Mix,100.0,False,,
Daria,latin,56,daria,singleton,,daria,Daria,100.0,False,,
Lovely Heart,latin,56,lovely heart,singleton,,lovely_heart,Lovely Heart,100.0,False,,
Migos,latin,56,migos,fuzzy_cluster,c6,migo_s,Migo'S,90.9,True,approve,
شيفى ميكس,arabic,56,شيفي ميكس,singleton,,brand_1761c7b215,شيفى ميكس,100.0,False,,
ميجوز,arabic,56,ميجوز,singleton,,brand_d1354d6886,ميجوز,100.0,False,,
Koki,latin,55,koki,singleton,,koki,Koki,100.0,False,,
Sharp,latin,55,sharp,singleton,,sharp,Sharp,100.0,False,,
Signal,latin,55,signal,singleton,,signal,Signal,100.0,False,,
سيجنال,arabic,55,سيجنال,singleton,,brand_8c39d0f0a4,سيجنال,100.0,False,,
شارب,arabic,55,شارب,singleton,,brand_d1e6606517,شارب,100.0,False,,
كوكى,arabic,55,كوكي,singleton,,brand_8c7e6cc69b,كوكى,100.0,False,,
Sun Shine,latin,54,sun shine,singleton,,sun_shine,Sun Shine,100.0,False,,
Al Tahhan,latin,53,al tahhan,singleton,,al_tahhan,Al Tahhan,100.0,False,,
Elvive,latin,53,elvive,singleton,,elvive,Elvive,100.0,False,,
Persil,latin,53,persil,singleton,,persil,Persil,100.0,False,,
الطحان,arabic,53,الطحان,singleton,,brand_1dbfe91f09,الطحان,100.0,False,,
ايلڤيڤ,arabic,53,ايلڤيڤ,singleton,,brand_b4b65fe762,ايلڤيڤ,100.0,False,,
برسيل,arabic,53,برسيل,singleton,,brand_ebac4d5853,برسيل,100.0,False,,
Dabur,latin,52,dabur,singleton,,dabur,Dabur,100.0,False,,
Energy,latin,52,energy,singleton,,energy,Energy,100.0,False,,
Maxell Magic,latin,52,maxell magic,singleton,,maxell_magic,Maxell Magic,100.0,False,,
ماكسيل ماجيك,arabic,52,ماكسيل ماجيك,singleton,,brand_0bdae77566,ماكسيل ماجيك,100.0,False,,
Americana,latin,50,americana,singleton,,americana,Americana,100.0,False,,
Best,latin,50,best,singleton,,best,Best,100.0,False,,
Mira,latin,50,mira,singleton,,mira,Mira,100.0,False,,
Sunsilk,latin,50,sunsilk,singleton,,sunsilk,Sunsilk,100.0,False,,
امريكانا,arabic,50,امريكانا,singleton,,brand_5c9d5ad0ee,امريكانا,100.0,False,,
بيست,arabic,50,بيست,singleton,,brand_019d1a5ff1,بيست,100.0,False,,
صن سليك,arabic,50,صن سليك,singleton,,brand_330efe21c6,صن سليك,100.0,False,,
Heinz,latin,49,heinz,singleton,,heinz,Heinz,100.0,False,,
Lifebuoy,latin,49,lifebuoy,singleton,,lifebuoy,Lifebuoy,100.0,False,,
Obour Land,latin,49,obour land,singleton,,obour_land,Obour Land,100.0,False,,
عبور لاند,arabic,49,عبور لاند,singleton,,brand_92c626d749,عبور لاند,100.0,False,,
ليفبوى,arabic,49,ليفبوي,singleton,,brand_6fa43fe042,ليفبوى,100.0,False,,
هينز,arabic,49,هينز,singleton,,brand_962c9135ac,هينز,100.0,False,,
Dayma,latin,48,dayma,singleton,,dayma,Dayma,100.0,False,,
Lord,latin,48,lord,singleton,,lord,Lord,100.0,False,,
Rich Diet,latin,48,rich diet,singleton,,rich_diet,Rich Diet,100.0,False,,
Sanita,latin,48,sanita,singleton,,sanita,Sanita,100.0,False,,
سانيتا,arabic,48,سانيتا,singleton,,brand_94dfd0904c,سانيتا,100.0,False,,
لورد,arabic,48,لورد,singleton,,brand_d811d32a1c,لورد,100.0,False,,
Chtaura,latin,47,chtaura,singleton,,chtaura,Chtaura,100.0,False,,
شتورا,arabic,47,شتورا,singleton,,brand_c44f24f451,شتورا,100.0,False,,
Always,latin,46,always,singleton,,always,Always,100.0,False,,
Avanti,latin,46,avanti,singleton,,avanti,Avanti,100.0,False,,
Bebeto,latin,46,bebeto,singleton,,bebeto,Bebeto,100.0,False,,
Cadbury's,latin,46,cadbury's,singleton,,cadbury_s,Cadbury's,100.0,False,,
Fresh Farm,latin,46,fresh farm,singleton,,fresh_farm,Fresh Farm,100.0,False,,
Orouba,latin,46,orouba,singleton,,orouba,Orouba,100.0,False,,
Shahd,latin,46,shahd,singleton,,shahd,Shahd,100.0,False,,
Speed,latin,46,speed,singleton,,speed,Speed,100.0,False,,
